keys,en
BLOCK_LITTLE_FOOD,little food
BLOCK_UNHAPPY,unhappy
SELECT_SURVIVOR,Survivor
SELECT_NEEDS,health {0}/{1}  food {2}  water {3}  rest {4}  mood {5}
SELECT_DANGER,"Warning: {0}"
DANGER_ATTACK,under attack
DANGER_STARVATION,starving
DANGER_DEHYDRATION,dehydrated
DANGER_EXHAUSTION,exhausted and going to sleep
DANGER_BURNING,burning
DANGER_POISONED,poisoned
DANGER_INFECTED,infected
DANGER_BLIGHT,Blight sickness
DANGER_WEATHER,weather exposure
MIGRANTS_ASK,{0} survivors ask for shelter{1}
MIGRANTS_ASK_ONE,{0} survivor asks for shelter{1}
MIGRANTS_BEDS_WARNING,"  ·  only {0} beds"
MIGRANTS_BEDS_WARNING_ONE,"  ·  only {0} bed"
MIGRANTS_FOOD_WARNING,"  ·  food is short"
MIGRANTS_LET_IN,Let in
MIGRANTS_TURN_AWAY,Turn away
SITE_TITLE,Choose where to raise the Hearth
SITE_HINT,tap the land to choose · forest is wood, rock is stone, water is drink
SITE_SUGGEST,Suggest a site
SITE_SETTLE,Settle here
SITE_OFF_MAP,off the map
SITE_UNBUILDABLE,cannot build on water or rock
SITE_TOO_CLOSE_TO_EDGE,too close to the edge
SITE_PLENTIFUL,plentiful
SITE_SOME,some
SITE_LITTLE,little
SITE_WOOD,{0} wood
SITE_STONE,{0} stone
SITE_WATER,{0} water
SITE_BERRIES,{0} berries
LEDGER_FOOD,Food
LEDGER_WATER,Water
LEDGER_MOOD,Mood
LEDGER_FAITH,Faith
LEDGER_PER_DAY,{0} per day
LEDGER_PER_SECOND,{0} per second
LEDGER_AVERAGE,{0} average
LEDGER_DRIFTING_TO,drifting to {0}
LEDGER_NOW,now {0}
LEDGER_GATHERED,gathered and farmed
LEDGER_EATEN,eaten
LEDGER_IN_STORE_HOLDING,{0} in store · holding
LEDGER_IN_STORE_DAYS,{0} in store · {1} days left
LEDGER_IN_STORE,{0} in store
LEDGER_NO_WATER,no reachable water — sink a well
LEDGER_THIRSTY_NOW,thirsty right now
LEDGER_TILES_TO_WATER,tiles to nearest water
LEDGER_WELL_HINT,a well inside the walls saves every one of those trips, twice a day each
LEDGER_BASELINE,baseline
LEDGER_HUNGRY,hungry
LEDGER_THIRSTY,thirsty
LEDGER_EXHAUSTED,exhausted
LEDGER_SLEEPING_ROUGH,sleeping rough
LEDGER_IN_EMBER,in the Ember's light
LEDGER_IN_BLIGHT,standing in Blight
LEDGER_FAITH_BASE,base
LEDGER_FAITH_MOOD,colony mood
LEDGER_FAITH_WORSHIPPERS,worshippers
LEDGER_FAITH_FULL,full at {0} — spend it
LEDGER_FAITH_FILLING,{0} / {1} · full in {2}s
SUMMARY_ASCENDED,You carry the Ember onward
SUMMARY_FALLEN,The keep has fallen
SUMMARY_STATS,Survived to day {0}\n{1} survivors remained
SUMMARY_SHARDS,+{0} Relic Shards   ({1} total)
SUMMARY_SHARDS_REMAINING,{0} Relic Shards remaining
SUMMARY_ALL_UNLOCKED,Everything is unlocked.
SUMMARY_UNLOCK,Unlock
SUMMARY_UNLOCK_OFFER,Unlock {0}  —  {1} shards
SUMMARY_UNLOCK_SHORT,{0} more shards for the {1}.
NOTICE_KEEP_ENDURES,The keep endures. Day {0}.
NOTICE_HEARTH_BROKEN,The Hearth is broken. The light goes out.
NOTICE_LAST_FALLEN,The last of them has fallen.
NOTICE_ASCEND,You carry the Ember onward.
NOTICE_BLIGHT_STIRS,The Blight stirs — night {0}
NOTICE_NIGHT_HOLDS,The night holds.
NOTICE_NIGHT_BROKEN,The night is broken. {0} faith from the fallen.
NOTICE_DAWN_SCATTERS,Dawn scatters the rest. {0} faith earned.
NOTICE_NEST_BURNED,A nest is burned out. The Blight recoils.
NOTICE_CHILD_BORN,A child is born at the Hearth.
NOTICE_SURVIVOR_ARRIVES,A survivor reaches the light.
NOTICE_MIGRANTS_WAITING,{0} survivors at the edge of the light.
NOTICE_MIGRANTS_WAITING_ONE,{0} survivor at the edge of the light.
NOTICE_MIGRANTS_LEAVE,The survivors move on into the dark.
NOTICE_MIGRANTS_JOINED,{0} joined the keep.
NOTICE_MIGRANTS_REFUSED,You turn them away. Your people saw.
GROUP_RAW,raw
GROUP_PROCESSED,worked
GROUP_MADE,made
RESOURCE_BOARDS,boards
RESOURCE_CUT_STONE,cut stone
RESOURCE_TOOLS,tools
JOB_WARRIOR,Warrior
JOB_SAWING,Sawing
JOB_STONECUTTING,Stonecutting
JOB_TOOLMAKING,Toolmaking
BUILDING_SAWMILL,Sawmill
BUILDING_SAWMILL_DESC,Turns three logs into a board. Boards go further than timber — anything you mean to keep wants them.
BUILDING_STONECUTTER,Stonecutter
BUILDING_STONECUTTER_DESC,Dresses rough stone into blocks. Slow work, and the only source of cut stone.
BUILDING_TOOLSMITH,Toolsmith
BUILDING_TOOLSMITH_DESC,Boards and cut stone become tools. Nothing in the upper half of the build list can be raised without them.
JOB_WOODCUTTING,Woodcutting
JOB_QUARRYING,Quarrying
JOB_FORAGING,Foraging
JOB_FARMING,Farming
BUILDING_HEARTH,Hearth
BUILDING_HEARTH_DESC,"The colony's heart. Goods are stored here, and its fire never goes out."
BUILDING_HUT,Hut
BUILDING_HUT_DESC,Shelter for four. Villagers recover far faster under a roof.
BUILDING_FARM,Farm
BUILDING_FARM_DESC,Tilled beds. The only food that does not run out — assign farmers to work it.
BUILDING_STOCKPILE,Stockpile
BUILDING_STOCKPILE_DESC,"A drop-off point. Build these near the work, not near the keep."
BUILDING_WELL,Well
BUILDING_WELL_DESC,Water inside the walls. Without one your people walk to the shore and back all day — and once you have gated the palisade, they walk a great deal further.
BUILDING_PALISADE,Palisade
BUILDING_PALISADE_DESC,A stake wall. Blocks the way — and monsters will break it rather than walk around.
BUILDING_GATE,Gate
BUILDING_GATE_DESC,Your people pass; the Blight does not. A wall without one of these is a cage — and monsters would rather break the gate than walk the long way round, so put your towers where it stands.
BUILDING_WATCHTOWER,Watchtower
BUILDING_WATCHTOWER_DESC,A guard post with a standing brazier. Its light reaches well past its walls.
POWER_EMBERFALL,Emberfall
POWER_EMBERFALL_DESC,Drops a lasting light. Monsters route around it and burn if they push through.
POWER_WRATH,Wrath
POWER_WRATH_DESC,A burst of holy fire. Hurts everything corrupted standing in it.
POWER_WARD,Ward
POWER_WARD_DESC,"Consecrates the ground. Burns the Blight out of the soil, and what is cleansed stays clean for a while."
MONSTER_SHAMBLER,Shambler
MONSTER_BRUTE,Brute
MONSTER_SWARMLING,Swarmling
MONSTER_BURROWER,Burrower
MONSTER_SHADE,Shade
MONSTER_SPITTER,Spitter
DIFFICULTY_SHELTERED,Sheltered
DIFFICULTY_SHELTERED_DESC,The dark keeps its distance. Room to learn what everything does before it starts costing you people.
DIFFICULTY_HARRIED,Harried
DIFFICULTY_HARRIED_DESC,"The game as intended. You will lose people, and you are meant to."
DIFFICULTY_BESIEGED,Besieged
DIFFICULTY_BESIEGED_DESC,The Blight comes faster than you can clear it. Every wall has to earn its wood.
DIFFICULTY_FORSAKEN,Forsaken
DIFFICULTY_FORSAKEN_DESC,"One survivor short, everything arriving early, and nothing forgiven. Most runs end in the first week."
DIFFICULTY_HOMESTEAD,Homestead
DIFFICULTY_HOMESTEAD_DESC,Low pressure and generous yields for learning the colony and recovering from mistakes.
DIFFICULTY_SURVIVAL,Survival
DIFFICULTY_SURVIVAL_DESC,The intended balance. Build a real economy and make every wall earn its place.
DIFFICULTY_NIGHTMARE,Nightmare
DIFFICULTY_NIGHTMARE_DESC,The Blight develops early and punishes weak logistics. Recovery is possible but costly.
DIFFICULTY_PEACEFUL,Peaceful
DIFFICULTY_PEACEFUL_DESC,No hostile spawning. Economy seasons weather and colony life remain active.
DIFFICULTY_SANDBOX,Sandbox
DIFFICULTY_SANDBOX_DESC,Experiment with realm tools without progression awards.
DIFFICULTY_CUSTOM,Custom
DIFFICULTY_CUSTOM_DESC,Use the Survival defaults now; configurable timing and multipliers remain bounded by mobile-safe caps.
DIFFICULTY_SHARD_MULT,{0}\n\nshards ×{1}
STATE_IDLE,idle
STATE_SEEKING,seeking
STATE_WORKING,working
STATE_HAULING,hauling
STATE_BUILDING,building
STATE_FETCHING,fetching
STATE_DELIVERING,delivering
STATE_EATING,eating
STATE_SLEEPING,sleeping
STATE_RESTING,resting
STATE_GUARDING,guarding
STATE_FLEEING,fleeing
STATE_COMMANDED,commanded
STATE_DRINKING,drinking
STATE_CARRYING," carrying {0} {1}"
STATE_UNASSIGNED,unassigned
STATE_DESCRIBE,{0} ({1}){2}
COST_FREE,free
COST_ENTRY,{0} {1}
PLACE_OFF_MAP,off the map
PLACE_BUILDING_CAP,mobile-safe limit reached ({0} buildings)
PLACE_BLOCKED,blocked ground
PLACE_OCCUPIED,already built here
PLACE_NEED,need {0}
RESOURCE_WOOD,wood
RESOURCE_STONE,stone
RESOURCE_FOOD,food
RESOURCE_WATER,water
TAB_LOGISTICS,stores
TAB_HOUSING,homes
TAB_PRODUCTION,works
TAB_DEFENCE,walls
TAB_COMMUNITY,town
TAB_DIVINE,faith
HUD_RESOURCE_ENTRY,{0} {1}
HUD_RESOURCE_GROUP,{0}  {1}
PLACE_NO_INFLUENCE,outside your reach
PLACE_NEEDS_CENTER,needs a village centre of tier {0}
PLACE_NEEDS_TIER,needs tier {0} and {1} survivors
GATE_NEEDS_CENTER,centre {0}
GATE_NEEDS_POP,{0} souls
UI_UPGRADE,improve
UI_UPGRADE_TO,raise to {0}
UI_VIEW,View
BLD_HOUSING," · {0} beds · {1}% rest speed"
UI_DEMOLISH,tear down
UI_DEMOLISH_CONFIRM,sure?
UPGRADE_NONE,nothing further to build here
UPGRADE_NEEDS_TIER,needs a village centre of tier {0}
UPGRADE_NEEDS_POP,needs {0} survivors
BLD_INTACT,{0}% intact
BLD_AWAITING_MATERIALS,waiting on materials
BLD_UNDER_CONSTRUCTION,under construction
BLD_TEARING_DOWN,"coming apart, {0}%"
LEDGER_ABILITIES,ABILITIES
LEDGER_FAITH_PASSIVE,the colony's faith
LEDGER_TOME,{0}  {1}%
LEDGER_BURDEN,burden of {0}
LEDGER_FAITH_DRAINING,{0} left — dark in {1}m {2}s
UI_TAKE_UP,take up
UI_GIVE_BACK,give back
UI_GIVE_BACK_COST,costs {0} faith to give back
POWER_NO_TEMPLE,{0} — no temple
TOME_LABEL,{0} T{1}
NOTICE_POWER_TAKEN,{0} is yours to call. Its burden: {1} faith each second.
NOTICE_POWER_GIVEN_BACK,{0} is set aside. Its burden lifts.
NOTICE_TOME_WRITTEN,The priests finish {0}.
NOTICE_TOME_COMBINED,Three works are bound into {0}.
NOTICE_TOME_CRUMBLED,{0} falls to dust.
NOTICE_TEMPLE_RAISED,The temple stands. Tier {0} rites are open to you.
JOB_WORKER,workers
JOB_PRIEST,priests
BUILDING_GREAT_HALL,great hall
BUILDING_GREAT_HALL_DESC,"The heart of the colony, raised. Tier 2: opens the upper half of the build list."
BUILDING_STONE_KEEP,stone keep
BUILDING_STONE_KEEP_DESC,"Walls, braziers and a barred gate. Tier 3, and the safest ground on the map."
BUILDING_LONGHOUSE,longhouse
BUILDING_LONGHOUSE_DESC,Nine beds under one roof. Beds are how a colony grows.
BUILDING_WARDEN_HOUSE,Warden House
BUILDING_WARDEN_HOUSE_DESC,Six deep-rest beds behind reinforced walls. Recovers rest 75% faster than a hut and is far harder for monsters to break.
BUILDING_PATH,path
BUILDING_PATH_DESC,Trodden earth. Quicker to walk — and quicker for whatever walks in.
BUILDING_ROAD,road
BUILDING_ROAD_DESC,"Laid stone. The fastest ground there is, for everyone."
BUILDING_SHRINE,shrine
BUILDING_SHRINE_DESC,"One priest, one work shelved. Opens the first rites."
BUILDING_TEMPLE,temple
BUILDING_TEMPLE_DESC,"Three priests, two works. Opens the second rites."
BUILDING_SANCTUM,sanctum
BUILDING_SANCTUM_DESC,"Five priests, three works. Opens the last rites."
POWER_RALLY,rally
POWER_RALLY_DESC,Your people move and strike harder for a while. The answer to a breach.
POWER_BLESSING,blessing
POWER_BLESSING_DESC,Lifts the spirits of everyone nearby — and spirits make faith.
POWER_DAWNBREAK,dawnbreak
POWER_DAWNBREAK_DESC,"A false morning. Vast light, vast cost."
POWER_CONSECRATE,consecrate
POWER_CONSECRATE_DESC,"Burns the blight out of a wide stretch of ground, and out of a nest."
POWER_ASCENSION,ascension
POWER_ASCENSION_DESC,Everything near the Ember is quickened and steadied at once.
TOME_ASHEN_CODEX,Ashen Codex
TOME_ASHEN_CODEX_DESC,"Plain work, honestly done."
TOME_VIGIL_PSALTER,Vigil Psalter
TOME_VIGIL_PSALTER_DESC,"A modest thing, bound to outlast its writers."
TOME_NIGHTWATCH_LITANY,Nightwatch Litany
TOME_NIGHTWATCH_LITANY_DESC,Silent by day. In the dark it gives a great deal.
TOME_PENITENT_ROLLS,Penitent Rolls
TOME_PENITENT_ROLLS_DESC,Faith bought with the colony's cheer.
TOME_EMBERWARD_FOLIO,Emberward Folio
TOME_EMBERWARD_FOLIO_DESC,Written close to the flame. It does not keep well.
BLIGHT_HOVEL,blight hovel
BLIGHT_HOVEL_DESC,A crude shelter. More of them means more of the horde each night.
BLIGHT_SPIRE,blight spire
BLIGHT_SPIRE_DESC,It bleeds corruption into the ground around it.
BLIGHT_TOTEM,blight totem
BLIGHT_TOTEM_DESC,It glows, and everything that comes past it is stronger for having.
NOTICE_BLIGHT_BUILDS,They have raised a {0} out past your reach.
NOTICE_BLIGHT_RAZED,One of their works is levelled.
UI_REALM,Realm
UI_CLOSE,Close
REALM_TITLE,The Ember Realm
REALM_HEADER_STATE,{0} colonies  •  {1}% warded
REALM_FIRST_HEADER,Choose your first settlement  •  world seed {0}
REALM_OVERVIEW,The generated world
REALM_CHOOSE_REGION,Choose an area to inspect
REALM_CHOOSE_REGION_SUMMARY,Select anywhere on the landscape to zoom into that region. You can inspect its full local terrain before deciding to inhabit it.
REALM_UNSETTLED,Unsettled frontier
REALM_OCEAN,Open water
REALM_BLIGHT_CORE,The Blight Heart
REALM_REGION_SUMMARY,"{0}\nforest {1}%  •  stone {2}%  •  food {3}%"
REALM_OCEAN_SUMMARY,This region is water and cannot hold a settlement.
REALM_CORE_SUMMARY,The source of the Realm's corruption. Surround it with strong wards before the final assault.
REALM_FALLEN,Fallen to the Blight
REALM_AWAKE,Awake — you are here
REALM_SLEEPING,Ledger active — time still passes
REALM_SITE_SUMMARY,"Founding caravan\n{0} wood  •  {1} stone  •  {2} food\n{3} settlers leave the awake colony."
REALM_FALLEN_SUMMARY,"Nothing answers here. The road remains, but this ward gives no protection."
REALM_COLONY_SUMMARY,"{0} survivors  •  {1} buildings  •  mood {2}\nfood {3}  •  wood {4}  •  stone {5}\ncorruption {6}%  •  defense {7}%\nintercepted pressure {8}"
REALM_ECONOMIC_IDENTITY,specialty {0}  •  demand {1}
REALM_INCOMING_ROUTES,{0} caravan(s) en route  •  next arrival day {1}
REALM_ROUTE_FORECAST,arrival day {0}  •  {1} risk ({2}%)
REALM_RISK_SAFE,safe
REALM_RISK_GUARDED,guarded
REALM_RISK_RISKY,risky
REALM_RISK_DIRE,dire
REALM_ROUTE_NEEDS_COLONIES,A route needs two standing colonies.
REALM_ROUTE_BAD_CARGO,That cargo cannot travel this route.
REALM_ROUTE_CAPACITY,This caravan can carry {0} units.
REALM_ROUTE_DESTINATION_FULL,The destination has no room for another settler.
REALM_FOUND,Found colony
REALM_BEGIN_HERE,Begin settlement here
REALM_BACK_TO_WORLD,Back to world
REALM_TRAVEL,Travel here
REALM_NO_ROAD,The awake colony has no direct road to this site.
REALM_SEND_FOOD,+10 food
REALM_SEND_WOOD,+10 wood
REALM_SEND_SETTLER,+1 settler
REALM_COVERAGE_HELP,Settlements protect nearby regions. More survivors and completed defenses widen their warded territory.
REALM_HEART_STATE,Blight Heart {0}/{1}
REALM_ASSAULT,Strike the Heart
REALM_REASON_SETTLED,That site is already settled.
REALM_REASON_UNSETTLEABLE,This region cannot hold a settlement.
REALM_REASON_CORE,The Blight Heart cannot be settled.
REALM_REASON_NO_ROAD,No safe road reaches that site.
REALM_REASON_SETTLERS,The colony needs two settlers and one survivor at home.
REALM_REASON_RESOURCE,The caravan lacks {0}.
REALM_REASON_HEART_BROKEN,The Blight Heart is already broken.
REALM_REASON_RING_OPEN,The regions around the Blight Heart are not fully warded.
REALM_REASON_FAITH,The assault needs {0} Faith.
REALM_REASON_ASSAULT_RESOURCE,The assault lacks {0}.
REALM_REASON_CARAVAN,The caravan cannot leave.
REALM_NOTICE_AWAKE,Awake at {0}.
REALM_NOTICE_FOUNDED,{0} is founded. Its ward now faces the Blight.
REALM_NOTICE_SENT,A caravan departed with {0} {1} for {2}.
REALM_NOTICE_MIGRANT,A settler departed for {0}.
REALM_ROUTE_ARRIVED,A caravan reached {0}.
REALM_ROUTE_ARRIVED_HURT,A battered caravan reached {0}; some cargo was lost.
REALM_NOTICE_OUTPOST_FALLEN,{0} has fallen. The First Hearth still endures. {1}
REALM_NOTICE_HEART_CRACKS,The Blight Heart cracks. {0} strength remains.
REALM_NOTICE_VICTORY,The ring holds. The Blight Heart is broken.
UPGRADE_LOCKED,sealed to you — {0} shards
UI_HISTORY,Chronicle
UI_INTERFACE,Interface
OPTIONS_AUDIO,Audio
OPTIONS_ACCESSIBILITY,Accessibility
OPTIONS_ACCESS_TAB,Access
OPTIONS_CONTROLS,Controls
AUDIO_COMPLETE_NOTE,Procedural music changes with the day and night. Every action uses its own finished sound.
ACCESS_PALETTE,Colour palette
ACCESS_PALETTE_DEFAULT,Original
ACCESS_PALETTE_RED_GREEN,Red-green safe
ACCESS_PALETTE_BLUE_YELLOW,Blue-yellow safe
ACCESS_PALETTE_HIGH_CONTRAST,High contrast
ACCESS_TEXT_SIZE,Text size
ACCESS_REDUCED_MOTION,Reduce camera and menu motion
ACCESS_SCREEN_SHAKE,Screen shake
ACCESS_HIGH_VISIBILITY_TARGETS,High-visibility target outlines
ACCESS_PAUSE_WHILE_MANAGING,Pause while managing
ACCESS_COMPACT_STATUS_DISPLAY,Compact day weather and night forecast
ACCESS_DIAGNOSTICS_OPT_IN,Allow manual diagnostic export
ACCESS_EXPORT_DIAGNOSTICS,Export local diagnostics
ACCESS_DIAGNOSTICS_EXPORTED,Diagnostics exported to app storage
ACCESS_HAPTICS,Haptic feedback on supported devices
ACCESS_TUTORIALS,Show contextual guidance
ACCESS_RESET_TUTORIALS,Reset guidance cards
ACCESS_TUTORIALS_RESET,Guidance cards reset
CONTROL_PAUSE,Pause or resume
CONTROL_SPEED,Cycle game speed
CONTROL_JOBS,Open the Job Board
CONTROL_BUILD,Open the build menu
CONTROL_REALM,Open the Realm
CONTROL_CANCEL,Cancel or close
CONTROL_RESET,Restore default controls
CONTROL_PRESS_KEY,Press a key…
TUTORIAL_KICKER,EMBERGARD FIELD GUIDE
TUTORIAL_CONTINUE,Continue
TUTORIAL_SKIP_ALL,Skip all guidance
TUTORIAL_COUNT,Guidance {0} of {1}
TUTORIAL_WELCOME_TITLE,This world is yours to read
TUTORIAL_WELCOME_BODY,"Drag to pan and pinch or use the mouse wheel to zoom. The Realm map shows the connected forests, stone and berry-rich ground inside every region before you settle it."
TUTORIAL_EMBER_TITLE,Carry the Ember
TUTORIAL_EMBER_BODY,Tap empty ground to move the Ember. Its light protects survivors and burns the Blight at night. Drag the bright flame directly when you need precise control.
TUTORIAL_JOBS_TITLE,Guide work with quotas
TUTORIAL_JOBS_BODY,"Open the Job Board and use minus, plus or the sliders to assign roles. Gathering jobs wait for orders: tap Area then paint the trees, stone or berries they may take. Change the brush radius or erase marks at any time."
TUTORIAL_BUILD_TITLE,Place with confidence
TUTORIAL_BUILD_BODY,Move the green ghost to valid ground and confirm it. On desktop you can drag roads and palisades into a whole line; right-click or Escape cancels.
TUTORIAL_DUSK_TITLE,Dusk is your warning
TUTORIAL_DUSK_BODY,"Work continues while the light fades. Bring the Ember home, staff Warriors and inspect the breach arrows before darkness gives the Blight its advantage."
TUTORIAL_POWERS_TITLE,Miracles carry a Burden
TUTORIAL_POWERS_BODY,Abilities spend Faith when cast and permanently reduce Faith income while taken up. Tap the Faith readout to see every source and Burden.
TUTORIAL_PRODUCTION_TITLE,Workshops form a chain
TUTORIAL_PRODUCTION_BODY,Later buildings consume processed goods. Staff their matching jobs and use the resource breakdown to find the exact input that is stopping production.
TUTORIAL_COLONIES_TITLE,Every colony stands alone
TUTORIAL_COLONIES_BODY,"Each settlement owns its survivors, stockpile and local Blight. Use the Realm to travel or send supplies across adjacent regions; nothing is silently shared."
TUTORIAL_BLIGHT_TITLE,Corruption grows locally
TUTORIAL_BLIGHT_BODY,Several small Blight pockets can threaten a settled map. Uninhabited regions stay dormant. Ward sources locally before their settlements and night pressure mature.
HISTORY_LIFETIME,{0} runs • {1} days endured • {2} monsters defeated • {3} buildings raised
HISTORY_ACHIEVEMENTS,Achievements {0}/{1}: {2}
HISTORY_CHRONICLE_GOALS,Chronicle goals {0}/{1}  •  doctrines {2}/{3}
HISTORY_NONE,None yet
HISTORY_EMPTY,"No worlds have ended yet. Your completed and fallen runs will be recorded here."
HISTORY_RUN_TITLE,Day {0} • {1} • {2}
HISTORY_RUN_DETAIL,{0} colonies • {1} survivors • {2} defeated • +{3} shards
HISTORY_COMPLETE,Realm saved
HISTORY_ASCENDED,Ascended
HISTORY_FALLEN,Fallen
HISTORY_COPY_SEED,Seed {0}
HISTORY_COPY_HELP,Copy this world seed to the clipboard
HISTORY_COPIED,Seed copied
SUMMARY_COPY_SEED,Copy world seed {0}
SUMMARY_ACHIEVEMENTS,New achievements: {0}
SUMMARY_CHRONICLE_ADVANCES,New Chronicle advances: {0}
ACHIEVEMENT_FIRST_NIGHT,First Light
ACHIEVEMENT_BUILDER,Raised in Fire
ACHIEVEMENT_PURIFIER,Root and Branch
ACHIEVEMENT_SURVIVOR,Ten-Day Vigil
ACHIEVEMENT_REALMKEEPER,Realmkeeper
ACHIEVEMENT_NETWORK,Many Hearths
ACHIEVEMENT_WEATHERED,Four Seasons
ACHIEVEMENT_CHRONICLER,Keeper of Tales
RESOURCE_FAITH,Faith
BIOME_COAST,Coast
BIOME_COAST_HAZARD,Tidal channels slow expansion but sea berries are plentiful.
BIOME_GRASSLAND,Grassland
BIOME_GRASSLAND_HAZARD,Open ground grows food well but gives the Blight no natural resistance.
BIOME_FOREST,Deep Forest
BIOME_FOREST_HAZARD,Dense timber yields more wood while roots slow travel and shelter corruption.
BIOME_MARSH,Marsh
BIOME_MARSH_HAZARD,"Bog paths are slow and corruption thrives, but food grows abundantly."
BIOME_HIGHLAND,Highland
BIOME_HIGHLAND_HAZARD,Rocky slopes slow travel and farming while rich stone and thin soil resist corruption.
BIOME_BADLANDS,Badlands
BIOME_BADLANDS_HAZARD,"Dry ground strains food and water, and hostile nests gather quickly."
BIOME_TUNDRA,Tundra
BIOME_TUNDRA_HAZARD,"Cold travel and short harvests demand preparation, but corruption struggles here."
SEASON_SPRING,Spring
SEASON_SUMMER,Summer
SEASON_AUTUMN,Autumn
SEASON_WINTER,Winter
WEATHER_CLEAR,Clear skies
WEATHER_RAIN,Rain
WEATHER_STORM,Storm
WEATHER_FOG,Fog
WEATHER_DROUGHT,Drought
WEATHER_SNOW,Snow
WEATHER_HEATWAVE,Heatwave
CLIMATE_HUD,{0} · {1}
CLIMATE_TOOLTIP,"{0}, {1} — farm output {2}% · timber gathering {3}%"
REALM_INSPECT_TOOLTIP,{0} · {1} · select to inspect
TUTORIAL_CLIMATE_TITLE,Read the season and sky
TUTORIAL_CLIMATE_BODY,"The clock now names the season and weather. Rain feeds farms but helps corruption; snow slows travel and crops; drought drains water. The Realm's biome changes these effects."
TUTORIAL_STORIES_TITLE,The Realm answers back
TUTORIAL_STORIES_BODY,"World events pause the colony and offer three responses. Costs and consequences are shown before you choose, and there is always a response that needs no stock."
STORY_EVENT,World event
STORY_KICKER,THE REALM STIRS
STORY_PROMPT,Choose how the colony responds
STORY_RECOMMENDED,Recommended
STORY_COST,cost: {0}
STORY_RESOLVED,The colony has chosen.
STORY_PASS,Let them pass
STORY_PASS_DETAIL,Keep your stores and make no bargain.
STORY_CARAVAN_TITLE,Lanterns on the old road
STORY_CARAVAN_BODY,A weathered caravan reaches the Hearth with useful cargo and little patience.
STORY_CARAVAN_TOOLS,Trade for tools
STORY_CARAVAN_TOOLS_DETAIL,Exchange provisions for tools and sawn boards.
STORY_CARAVAN_PROVISIONS,Buy their provisions
STORY_CARAVAN_PROVISIONS_DETAIL,Trade timber for a full larder.
STORY_REFUGEES_TITLE,Figures beyond the firelight
STORY_REFUGEES_BODY,{0} exhausted survivors ask to join the settlement before nightfall.
STORY_REFUGEES_WELCOME,Welcome them
STORY_REFUGEES_WELCOME_DETAIL,Open the gate and accept the extra mouths immediately.
STORY_REFUGEES_PROVISION,Provision their journey
STORY_REFUGEES_PROVISION_DETAIL,Feed them well; their gratitude strengthens Faith and morale.
STORY_REFUGEES_REFUSE,Turn them away
STORY_REFUGEES_REFUSE_DETAIL,Preserve the stockpile at a cost to colony morale.
STORY_BLIGHT_TITLE,A pulse beneath the roots
STORY_BLIGHT_BODY,The ground answers a distant call and new corruption strains toward the Hearth.
STORY_BLIGHT_WARD,Raise an Ember ward
STORY_BLIGHT_WARD_DETAIL,Spend Faith to burn back the strongest corrupted ground.
